count,player,result,char,position,datetime,category,note,wt_cnt,wt_w_cnt,lt_cnt,lt_w_cnt,nt_cnt,nt_w_cnt,xw_cnt,xw_w_cnt,xl_cnt,xl_w_cnt,xn_cnt,xn_w_cnt
2.0,,三紅,刺,1.0,1900-01-01,線瓦,,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0
1.0,,三紅,刺,3.0,1900-01-01,線瓦,,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0
1.0,,三紅,刺,4.0,1900-01-01,線瓦,,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0
2.0,,三紅,刺,5.0,1900-01-01,線瓦,,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0
2.0,,三紅,刺,8.0,1900-01-01,線瓦,,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0
1.0,,三紅,刺,6.0,1900-01-01,線瓦,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
1.0,,三紅,刺,7.0,1900-01-01,線瓦,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
1.0,,三紅,刺,8.0,1900-01-01,線瓦,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
1.0,,三紅,刺,2.0,1900-01-01,線瓦,我旁觀,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,,三紅,刺,4.0,1900-01-01,線瓦,我旁觀,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,,三紅,刺,9.0,1900-01-01,線瓦,我旁觀,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,,三紅,刺,0.0,1900-01-01,線瓦,我旁觀,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,,三紅,刺,7.0,1900-01-01,面瓦,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,,三紅,刺,1.0,1900-01-01,面瓦,,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0
1.0,,三紅,刺,7.0,1900-01-01,面瓦,,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0
1.0,,三紅,刺,7.0,1900-01-01,面瓦,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
1.0,,三紅,刺,3.0,1900-01-01,面瓦,KAY那邊,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0
1.0,,三紅,刺,4.0,1900-01-01,面瓦,感覺是喬,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
1.0,30場以下,三紅,刺,2.0,1900-01-01,面瓦,Kay,0.0,0.0,1.0,-1.0,2.0,0.0,3.0,-1.0,2.0,0.0,1.0,-1.0
1.0,30場以下,三紅,刺,8.0,1900-01-01,面瓦,Kay,0.0,0.0,1.0,1.0,2.0,-2.0,3.0,-1.0,2.0,-2.0,1.0,1.0
1.0,C5,三紅,刺,0.0,1900-01-01,面瓦,Kay,0.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,2.0,0.0,1.0,1.0
2.0,海月,三紅,刺,0.0,1900-01-01,線瓦,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
1.0,海月,三紅,刺,7.0,1900-01-01,面瓦,,1.0,-1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,-1.0,2.0,0.0
1.0,皮皮,三紅,刺,5.0,1900-01-01,面瓦,Kay,0.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,2.0,0.0,1.0,1.0
1.0,,三紅,奧,2.0,1900-01-01,線瓦,,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0
1.0,,三紅,奧,3.0,1900-01-01,線瓦,,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0
2.0,,三紅,奧,4.0,1900-01-01,線瓦,,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0
