count,player,result,char,position,datetime,category,note,wt_cnt,wt_w_cnt,lt_cnt,lt_w_cnt,nt_cnt,nt_w_cnt,xw_cnt,xw_w_cnt,xl_cnt,xl_w_cnt,xn_cnt,xn_w_cnt
1,SIN,三紅,奧,1,2025-03-02,線瓦,Discopia星球[1-2]梅林踩拇指,0,0,0,0,0,0,0,0,0,0,0,0
1,SIN,三紅,奧,2,2025-03-03,線瓦,Discopia星球[1-1]梅林踩拇指,0,0,0,0,0,0,0,0,0,0,0,0
1,轆,三紅,刺,0,2025-03-05,線瓦,Discopia星球,1,1,0,0,0,0,0,0,1,1,1,1
1,SIN,三藍活,刺,7,2025-03-06,線瓦,Discopia星球,1,1,0,0,0,0,0,0,1,1,1,1
1,轆,三藍活,忠,1,2025-03-06,線瓦,Discopia星球,1,1,0,0,0,0,0,0,1,1,1,1
1,轆,三藍死,刺,7,2025-03-07,線瓦,Discopia星球,1,1,0,0,0,0,0,0,1,1,1,1
1,SIN,三藍死,德,3,2025-03-07,線瓦,Discopia星球,0,0,0,0,0,0,0,0,0,0,0,0
1,SIN,三藍死,忠,3,2025-03-07,線瓦,Discopia星球,1,1,0,0,0,0,0,0,1,1,1,1
1,SIN,三紅,奧,6,2025-03-08,線瓦,Discopia星球,1,-1,0,0,0,0,0,0,1,-1,1,-1
1,尼克,三紅,忠,3,2025-03-08,線瓦,Discopia星球,1,-1,0,0,0,0,0,0,1,-1,1,-1
1,轆,三紅,梅,2,2025-03-08,線瓦,Discopia星球,1,-1,0,0,0,0,0,0,1,-1,1,-1
1,尼克,三藍死,奧,0,2025-03-08,線瓦,Discopia星球,0,0,1,-1,0,0,1,-1,0,0,1,-1
1,SIN,三藍死,娜,2,2025-03-08,線瓦,Discopia星球,0,0,1,-1,0,0,1,-1,0,0,1,-1
1,開司,三藍死,派,7,2025-03-08,線瓦,Discopia星球,0,0,1,-1,0,0,1,-1,0,0,1,-1
1,開司,三藍活,奧,4,2025-03-08,線瓦,Discopia星球,0,0,1,-1,0,0,1,-1,0,0,1,-1
1,尼克,三藍活,忠,1,2025-03-08,線瓦,Discopia星球,0,0,1,-1,0,0,1,-1,0,0,1,-1
1,SIN,三藍活,派,6,2025-03-08,線瓦,Discopia星球,0,0,1,-1,0,0,1,-1,0,0,1,-1
1,轆,三紅,刺,8,2025-03-18,線瓦,,1,1,2,-2,0,0,2,-2,1,1,3,-1
1,黑羊,三紅,刺,8,2025-03-18,線瓦,,0,0,2,0,0,0,2,0,0,0,2,0
1,30場以下,三紅,奧,7,2025-03-18,線瓦,,1,1,2,-2,0,0,2,-2,1,1,3,-1
1,豬豬,三紅,奧,3,2025-03-18,線瓦,,0,0,2,0,0,0,2,0,0,0,2,0
1,30場以下,三紅,娜,7,2025-03-18,線瓦,,0,0,2,0,0,0,2,0,0,0,2,0
1,尼克,三紅,娜,0,2025-03-18,線瓦,,1,1,2,-2,0,0,2,-2,1,1,3,-1
