流水號,文字記錄,配置,刺殺,分類,日期時間,場次,check,note,玩1,玩2,玩3,玩4,玩5,玩6,玩7,玩8,玩9,玩0,最佳,結果,5 家陣營,0 家陣營,第一局成功失敗,第二局成功失敗,第三局成功失敗,第四局成功失敗,第五局成功失敗,第一局,第二局,第三局,第四局,第五局,刺,娜,德,奧,派,梅,2023-01-01 00:00:00,角1,角2,角3,角4,角5,角6,角7,角8,角9,角0,陣1,陣2,陣3,陣4,陣5,陣6,陣7,陣8,陣9,陣0
1.0,"158
458 2+
130
467
359
ooo",840216,,模擬,2023-06-27 00:00:00,1,v,10,SIRIUS,HAO,梅粉,池,LORI,,,,,,,三藍活,藍方,紅方,ooo,,,,,藍,,,,,8,4,0,2,1,6,158,派,奧,忠,娜,忠,梅,忠,刺,忠,德,1,-1,1,-1,1,1,1,-1,1,-1
2,"147
280
134
469
456
ooo",718942,,模擬,2023-06-27 00:00:00,2,v,10,HAO,梅粉,LORI,SIRIUS,池,,,,,,,三藍活,藍方,藍方,ooo,,,,,藍,,,,,7,1,8,9,4,2,147,娜,梅,忠,派,忠,忠,刺,德,奧,忠,-1,1,1,1,1,1,-1,-1,-1,1
3,"169
278
348
489
356
ooo",278136,,模擬,2023-06-28 00:00:00,1,v,10,HAO,池,LORI,SIN,海月,,,,,,,三藍活,藍方,藍方,ooo,,,,,藍,,,,,2,7,8,1,3,6,169,奧,刺,派,忠,忠,梅,娜,德,忠,忠,-1,-1,1,1,1,1,-1,-1,1,1
4,"370 1+
469 2+
345
147
150
oox",240671,,模擬,2023-06-28 00:00:00,2,,10,ED,HAO,LORI,海月,SIRIUS,,,,,,,三藍活,藍方,紅方,oox,,,,,紅,,,,,2,4,0,6,7,1,370,梅,刺,忠,娜,忠,奧,派,忠,忠,德,1,-1,1,-1,1,-1,1,1,1,-1
5,"156
280
367
479
568
oox",842961,,模擬,2023-06-28 00:00:00,3,,10,軒,梅粉,TEN,SIRIUS,LORI,,,,,,,三藍活,藍方,藍方,oox,,,,,紅,,,,,8,4,2,9,6,1,156,梅,德,忠,娜,忠,派,忠,刺,奧,忠,1,-1,1,-1,1,1,1,-1,-1,1
6,"146
280
369
680 24+
560
oxx",320617,,模擬,2023-06-28 00:00:00,4,,10,LORI,SIRIUS,梅粉,ED,HAO,,,,,,,三藍活,藍方,紅方,oxx,,,,,紅,,,,,3,2,0,6,1,7,146,派,娜,刺,忠,忠,奧,梅,忠,忠,德,1,-1,-1,1,1,-1,1,1,1,-1
7,"127
125
690 3+
458
579
oox",210956,,模擬,2023-06-28 00:00:00,5,,10,HAO,DEAN,ED,軒,梅粉,,,,,,,三藍活,藍方,紅方,oox,,,,,紅,,,,,2,1,0,9,5,6,127,娜,刺,忠,忠,派,梅,忠,忠,奧,德,-1,-1,1,1,1,1,1,1,-1,-1
8,"460 1+
279
370
469
579
oxx",753921,,模擬,2023-06-29 00:00:00,1,,10,ED,海月,DEAN,LORI,軒,,,,,,,三藍活,紅方,藍方,oxx,,,,,紅,,,,,7,5,3,9,2,1,460,梅,派,德,忠,娜,忠,刺,忠,奧,忠,1,1,-1,1,-1,1,-1,1,-1,1
9,"146
267
180 3+
147
157
ooo",309864,,模擬,2023-06-29 00:00:00,2,v,10,SIRIUS,海月,ED,梅粉,軒,,,,,,,三藍活,藍方,紅方,ooo,,,,,藍,,,,,3,0,9,8,6,4,146,忠,忠,刺,梅,忠,派,忠,奧,德,娜,1,1,-1,1,1,1,1,-1,-1,-1
10,"148
670 2+
359
146
570
ooo",268931,,模擬,2023-06-29 00:00:00,3,v,10,HAO,梅粉,發達,軒,海月,,,,,,,三藍活,藍方,藍方,ooo,,,,,藍,,,,,2,6,8,9,3,1,148,梅,刺,派,忠,忠,娜,忠,德,奧,忠,1,-1,1,1,1,-1,1,-1,-1,1
