,SIN,HAO,尼克,軒,海月,池,黑羊,洋蔥,DEAN,JOY,LIANG,轆,KEVIN,豬豬,雪怪,發達,黃某人,菜,LORI,大星,ED,午夜,VASH,TEN,豬羊,很乖,呂安,RAY
SIN,0,-0.02149932265,-0.03275479864,-0.03432502331,-0.009430144795,-0.04371558261,-0.0830283784,0.003804605992,0.01140941959,-0.0354686043,-0.01216154401,-0.01613768715,-0.05435968261,-0.08552666303,-0.006707542356,-0.01331392178,-0.03768099368,-0.06481025352,0.03789651472,-0.04204419501,0.0098084062,-0.02421312831,0.01750558595,-0.04543975088,0.0120515843,-0.001671387604,-0.006289695456,0.00134590686
HAO,-0.08516173748,0,-0.03289575769,-0.1061974366,-0.007779122573,-0.01204626095,-0.02402010986,-0.006511911781,-0.01968573172,-0.0140841428,-0.05136082922,0.01067043209,-0.01804094384,-0.05394697369,-0.05576244711,-0.01447723676,-0.02737692538,0.0071584479,-0.009098056254,-0.06295710104,0.004520580538,-0.04599716559,-0.02244256173,-0.0218942991,0.02927515543,-0.02024951122,-0.001525825239,-0.003067167344
尼克,-0.01715779887,0.05905338308,0,-0.08439345418,0.00688956136,-0.02044099069,-0.03682757,0.005787819138,0.009320739196,0.002401798043,-0.06891764844,-0.07685019244,0.002820460088,-0.06691982255,-0.03420542351,-0.01745894174,-0.02583952757,-0.02977641978,-0.005023944531,-0.04067632283,-0.01884713694,-0.03766489409,-0.006456209419,-0.02085965273,-0.002071275377,-0.02482592473,-0.02828539531,0.02077151335
軒,-0.005248868778,-0.03450748347,-0.06919596241,0,-0.002352941176,-0.03688130874,-0.02597981204,0.01832927254,-0.03112426036,-0.01807866342,-0.0448729551,-0.007901148625,-0.02672467804,-0.04394013227,-0.0108806126,-0.03156978768,-0.03837104072,-0.04421858684,0.002304211625,-0.04112077967,-0.01055342847,-0.04004872955,-0.002352941176,-0.04496345284,0.008151757745,0.0006265227985,-0.01726418378,0
海月,-0.007938704894,0.03345526446,0.008442906574,-0.002857142857,0,-0.02867029165,0.003776569451,-0.005714285714,-0.02819574889,-0.04609985171,0.004063272368,0.01384083045,0.003460207612,-0.002857142857,-0.06266930302,-0.01247652002,-0.009016312407,-0.002857142857,-0.008828472565,-0.0004448838359,-0.005368264953,0.003460207612,0.00682155215,0.00136431043,0.006920415225,-0.0004448838359,0.0006030647553,-0.02073158675
池,-0.07496473767,0.03530206409,-0.04351669746,-0.07201462145,-0.04413254664,0,0.01187992928,0.006486282456,-0.0575024336,-0.0434471661,-0.01442279039,0.001231698353,-0.02141565846,-0.01442279039,-0.0322029521,0.04515565091,-0.001350894968,-0.02536901285,-0.01131374536,-0.03236188092,-0.02582593321,-0.04429147546,0.009277469853,-0.03007727914,-0.006148558714,0.01627033792,-0.01997536603,0.0009138407136
黑羊,-0.1217850719,0.02679856115,-0.05633992806,-0.05510341727,0.002068345324,0.02455035971,0,-0.009352517986,-0.03201438849,0.002540467626,-0.001573741007,-0.006294964029,-0.01785071942,-0.04986510791,-0.009307553957,0.00696942446,-0.02864208633,-0.05676708633,-0.0008767985612,-0.04368255396,0.006137589928,-0.04244604317,0.007194244604,-0.08336330935,-0.005710431655,0.008205935252,-0.009959532374,-0.003125
洋蔥,-0.01556575791,0.0209821774,-0.02223311238,-0.03039643032,-0.007067137809,-0.0006835005545,-0.03271775296,0,0.001276727451,0.008459931392,-0.05861339661,0.002553454902,-0.04540765005,-0.03880477677,-0.004165484512,0.0004126795801,-0.04905728508,0.03400737665,-0.02299399035,-0.1028732816,-0.002953238245,-0.04019757035,-0.003533568905,-0.04042970261,-0.005442211963,-0.003933352248,-0.007002656625,-0.003533568905
DEAN,0.02262848713,0.02162745976,0.002370854298,-0.06770106162,-0.07829087748,-0.09109349069,-0.05207976608,0.004636337294,0,-0.02974105003,0.01322409842,-0.001975711915,-0.002397197123,0.002107426043,-0.09320091673,-0.00324016754,-0.03195384737,-0.001554226706,-0.01198598562,-0.02534179816,-0.02663259661,0.0004214852085,-0.01072152999,0.01491003925,0.006612049208,0.01069518717,-0.001975711915,0.003925081004
JOY,-0.08485861319,0.05180646188,-0.004164677171,-0.04305268184,-0.09573452173,-0.06056024192,0.002466974375,0.01703008117,-0.0180115656,0,-0.02183139689,-0.03880842485,0.01761366651,-0.01939094912,-0.1145949387,-0.001803809221,0.01641996923,-0.01392646825,0.01161865351,-0.01453658019,-0.004138150565,0,-0.0338744761,-0.009682211258,0.006684704759,0.01700355457,-0.0005570587299,-0.04785399756
LIANG,0.010582291,0.009751960992,-0.09610628224,-0.07098438273,0.005688643912,0.002932654936,0.01556427108,-0.0256342308,0.01526393894,-0.01483994064,0,-0.01107695569,-0.06379407816,-0.01135962123,-0.02218924458,-0.02425623631,-0.05352978588,-0.02176524627,-0.009698961204,-0.09972793442,-0.007349303936,0.003762984948,0,-0.06602006925,0.04566815066,-0.02468023461,-0.02259557628,-0.003745318352
轆,-0.07643251475,0.0511612412,-0.1930801447,-0.0858557015,0.01941747573,-0.01132686084,-0.03588425662,-0.00104702075,-0.00523510375,-0.04449838188,-0.05539691605,0,-0.05601561013,-0.1239291833,0.009470778603,-0.01546735199,0.009042451932,-0.07038834951,0.01446792309,-0.02969731582,0.009518370455,-0.02988768323,0.004854368932,-0.07386255473,0.0427850752,0.01422996383,-0.02489053874,-0.004901960784
KEVIN,-0.08521836506,0.05319148936,0.0131019037,-0.0529675252,0.005263157895,-0.01209406495,-0.01153415454,-0.02430011198,0.001791713326,0.01780515118,-0.07469204927,-0.002463605823,0,-0.152743561,0.002799552072,-0.01511758119,-0.03975363942,-0.01131019037,0,-0.03292273236,0.003023516237,-0.02597984323,-0.003247480403,-0.05722284434,0.01814109742,-0.01870100784,-0.0008958566629,-0.004255319149
