,SIN,HAO,尼克,軒,海月,池,黑羊,洋蔥,DEAN,JOY,LIANG,轆,KEVIN,豬豬,雪怪,發達,黃某人,菜,LORI,大星,ED,午夜,VASH,TEN,豬羊,很乖,呂安,RAY
SIN,452,108.0,111.0,104.0,20.0,71.0,73.0,79.0,42.0,28.0,61.0,61.0,59.0,53.0,41.0,47.0,27.0,39.0,36.0,43.0,26.0,25.0,16.0,19.0,36.0,28.0,34.0,6.0
HAO,108.0,467.0,120.0,79.0,46.0,88.0,70.0,59.0,63.0,69.0,64.0,58.0,57.0,47.0,36.0,44.0,47.0,62.0,42.0,27.0,54.0,18.0,29.0,27.0,43.0,21.0,32.0,20.0
尼克,111.0,120.0,337.0,80.0,14.0,49.0,66.0,52.0,29.0,25.0,36.0,40.0,51.0,30.0,16.0,45.0,33.0,25.0,25.0,28.0,12.0,14.0,7.0,23.0,31.0,25.0,23.0,7.0
軒,104.0,79.0,80.0,338.0,0.0,44.0,62.0,73.0,3.0,9.0,58.0,53.0,53.0,44.0,17.0,45.0,26.0,28.0,31.0,37.0,2.0,31.0,0.0,19.0,29.0,36.0,22.0,0.0
海月,20.0,46.0,14.0,0.0,289.0,33.0,11.0,0.0,48.0,42.0,2.0,4.0,1.0,0.0,24.0,3.0,4.0,0.0,28.0,4.0,29.0,1.0,35.0,7.0,2.0,4.0,1.0,13.0
池,71.0,88.0,49.0,44.0,33.0,306.0,52.0,55.0,41.0,36.0,30.0,32.0,26.0,30.0,32.0,38.0,34.0,22.0,17.0,18.0,20.0,19.0,14.0,28.0,13.0,18.0,19.0,4.0
黑羊,73.0,70.0,66.0,62.0,11.0,52.0,278.0,53.0,5.0,12.0,43.0,33.0,35.0,40.0,20.0,28.0,32.0,32.0,18.0,20.0,13.0,16.0,2.0,22.0,21.0,24.0,12.0,0.0
洋蔥,79.0,59.0,52.0,73.0,0.0,55.0,53.0,274.0,11.0,12.0,43.0,22.0,35.0,31.0,25.0,34.0,34.0,19.0,15.0,27.0,5.0,19.0,0.0,17.0,14.0,27.0,31.0,0.0
DEAN,42.0,63.0,29.0,3.0,48.0,41.0,5.0,11.0,187.0,58.0,8.0,7.0,6.0,5.0,36.0,4.0,6.0,8.0,30.0,10.0,42.0,1.0,33.0,12.0,4.0,2.0,7.0,21.0
JOY,28.0,69.0,25.0,9.0,42.0,36.0,12.0,12.0,58.0,183.0,4.0,8.0,5.0,8.0,27.0,5.0,11.0,9.0,27.0,8.0,33.0,0.0,32.0,8.0,3.0,4.0,15.0,25.0
LIANG,61.0,64.0,36.0,58.0,2.0,30.0,43.0,43.0,8.0,4.0,212.0,31.0,23.0,23.0,8.0,29.0,22.0,20.0,17.0,13.0,4.0,27.0,0.0,13.0,47.0,17.0,23.0,0.0
轆,61.0,58.0,40.0,53.0,4.0,32.0,33.0,22.0,7.0,8.0,31.0,206.0,44.0,29.0,7.0,16.0,16.0,37.0,5.0,6.0,6.0,10.0,1.0,7.0,28.0,10.0,8.0,0.0
KEVIN,59.0,57.0,51.0,53.0,1.0,26.0,35.0,35.0,6.0,5.0,23.0,44.0,190.0,30.0,7.0,23.0,7.0,31.0,0.0,18.0,3.0,8.0,1.0,15.0,18.0,11.0,16.0,0.0
豬豬,53.0,47.0,30.0,44.0,0.0,30.0,40.0,31.0,5.0,8.0,23.0,29.0,30.0,158.0,0.0,8.0,3.0,28.0,1.0,6.0,2.0,7.0,0.0,11.0,11.0,2.0,0.0,0.0
雪怪,41.0,36.0,16.0,17.0,24.0,32.0,20.0,25.0,36.0,27.0,8.0,7.0,7.0,0.0,165.0,13.0,16.0,3.0,37.0,22.0,29.0,6.0,20.0,9.0,10.0,16.0,1.0,12.0
發達,47.0,44.0,45.0,45.0,3.0,38.0,28.0,34.0,4.0,5.0,29.0,16.0,23.0,8.0,13.0,177.0,18.0,3.0,15.0,22.0,3.0,24.0,0.0,8.0,9.0,20.0,30.0,0.0
黃某人,27.0,47.0,33.0,26.0,4.0,34.0,32.0,34.0,6.0,11.0,22.0,16.0,7.0,3.0,16.0,18.0,156.0,6.0,8.0,16.0,6.0,22.0,0.0,17.0,21.0,14.0,20.0,0.0
菜,39.0,62.0,25.0,28.0,0.0,22.0,32.0,19.0,8.0,9.0,20.0,37.0,31.0,28.0,3.0,3.0,6.0,137.0,0.0,4.0,6.0,3.0,0.0,7.0,10.0,1.0,0.0,1.0
LORI,36.0,42.0,25.0,31.0,28.0,17.0,18.0,15.0,30.0,27.0,17.0,5.0,0.0,1.0,37.0,15.0,8.0,0.0,163.0,15.0,22.0,13.0,19.0,2.0,7.0,16.0,0.0,24.0
大星,43.0,27.0,28.0,37.0,4.0,18.0,20.0,27.0,10.0,8.0,13.0,6.0,18.0,6.0,22.0,22.0,16.0,4.0,15.0,135.0,4.0,15.0,4.0,5.0,10.0,19.0,16.0,0.0
ED,26.0,54.0,12.0,2.0,29.0,20.0,13.0,5.0,42.0,33.0,4.0,6.0,3.0,2.0,29.0,3.0,6.0,6.0,22.0,4.0,133.0,0.0,29.0,2.0,2.0,2.0,1.0,25.0
午夜,25.0,18.0,14.0,31.0,1.0,19.0,16.0,19.0,1.0,0.0,27.0,10.0,8.0,7.0,6.0,24.0,22.0,3.0,13.0,15.0,0.0,106.0,0.0,5.0,11.0,14.0,11.0,0.0
VASH,16.0,29.0,7.0,0.0,35.0,14.0,2.0,0.0,33.0,32.0,0.0,1.0,1.0,0.0,20.0,0.0,0.0,0.0,19.0,4.0,29.0,0.0,95.0,0.0,0.0,0.0,0.0,17.0
TEN,19.0,27.0,23.0,19.0,7.0,28.0,22.0,17.0,12.0,8.0,13.0,7.0,15.0,11.0,9.0,8.0,17.0,7.0,2.0,5.0,2.0,5.0,0.0,101.0,13.0,2.0,10.0,0.0
豬羊,36.0,43.0,31.0,29.0,2.0,13.0,21.0,14.0,4.0,3.0,47.0,28.0,18.0,11.0,10.0,9.0,21.0,10.0,7.0,10.0,2.0,11.0,0.0,13.0,133.0,8.0,16.0,0.0
很乖,28.0,21.0,25.0,36.0,4.0,18.0,24.0,27.0,2.0,4.0,17.0,10.0,11.0,2.0,16.0,20.0,14.0,1.0,16.0,19.0,2.0,14.0,0.0,2.0,8.0,116.0,8.0,0.0
呂安,34.0,32.0,23.0,22.0,1.0,19.0,12.0,31.0,7.0,15.0,23.0,8.0,16.0,0.0,1.0,30.0,20.0,0.0,0.0,16.0,1.0,11.0,0.0,10.0,16.0,8.0,109.0,0.0
RAY,6.0,20.0,7.0,0.0,13.0,4.0,0.0,0.0,21.0,25.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,24.0,0.0,25.0,0.0,17.0,0.0,0.0,0.0,0.0,60.0
