流水號,文字記錄,配置,刺殺,分類,日期時間,場次,check,note,玩1,玩2,玩3,玩4,玩5,玩6,玩7,玩8,玩9,玩0,最佳,
1.0,"158
458 2+
130
467
359
ooo",840216,,模擬,2023-06-27 00:00:00,1,v,,Sirius,HAO,梅粉,池,Lori,,,,,,,
2,"147
280
134
469
456
ooo",718942,,模擬,2023-06-27 00:00:00,2,v,,HAO,梅粉,Lori,Sirius,池,,,,,,,
3,"169
278
348
489
356
ooo",278136,,模擬,2023-06-28 00:00:00,1,v,,HAO,池,Lori,Sin,海月,,,,,,,
4,"370 1+
469 2+
345
147
150
oox",240671,,模擬,2023-06-28 00:00:00,2,,,ED,HAO,Lori,海月,Sirius,,,,,,,
5,"156
280
367
479
568
oox",842961,,模擬,2023-06-28 00:00:00,3,,,軒,梅粉,TEN,Sirius,Lori,,,,,,,
6,"146
280
369
680 24+
560
oxx",320617,,模擬,2023-06-28 00:00:00,4,,,Lori,Sirius,梅粉,ED,HAO,,,,,,,
7,"127
125
690 3+
458
579
oox",210956,,模擬,2023-06-28 00:00:00,5,,,HAO,Dean,ED,軒,梅粉,,,,,,,
8,"460 1+
279
370
469
579
oxx",753921,,模擬,2023-06-29 00:00:00,1,,,ED,海月,Dean,Lori,軒,,,,,,,
9,"146
267
180 3+
147
157
ooo",309864,,模擬,2023-06-29 00:00:00,2,v,,Sirius,海月,ED,梅粉,軒,,,,,,,
10,"148
670 2+
359
146
570
ooo",268931,,模擬,2023-06-29 00:00:00,3,v,,HAO,梅粉,發達,軒,海月,,,,,,,
11,"149
268
348
134
179
ooo",580264,,模擬,2023-06-29 00:00:00,4,v,別懷疑 5外撒,Dean,Sirius,梅粉,海月,池,,,,,,,
12,"470 1+
279
236
147
579
oox
3670
1678
4780
1690
1690
ooox
0>7 o",239470,,模擬,"2023/6/30
2024/1/25",1,,,ED,Dean,梅粉,HAO,Lori,黃某人,ED,池,午夜,雪怪,,
13,"369 1+
234
349
345
357
ooo",961042,,模擬,2023-06-30 00:00:00,1,v,,池,軒,Sin,TEN,梅粉,,,,,,,
14,"570
259
678 3+
279 4+
259
ooo",648752,,模擬,2023-06-30 00:00:00,2,v,,HAO,海月,池,軒,TEN,,,,,,,
15,"167
269
135
478
159
ooo",436075,,模擬,2023-06-30 00:00:00,3,v,,TEN,Lori,海月,Sirius,池,,,,,,,
16,"147
245
379
346
159
oox
1469
1378
3469 8+
4689
1370
ooox",439705,,模擬,"2023/7/2
2024/4/17",1,,"0>5 o
0>1 o
0>3 x
[2-5]7家不出失敗",池,HAO,Sirius,梅粉,海月,池,黑羊,ED,Sin,,,
17,"180
257
345
457
257
ooo",810964,,模擬,2023-07-03 00:00:00,1,v,,HAO,Dean,梅粉,池,軒,,,,,,,
18,"257 1+
259
380
240
357
oox
2679
2790
1258
2390
2790
ooox
0>4 o",916534,,模擬,"2023/7/3
2024/5/22",1,,,HAO,池,Sirius,梅粉,TEN,Sin,Emma,池,ED,軒,,
19,"169
268
345
179 4+
357
oox",592486,,模擬,2023-07-03 00:00:00,2,,,梅粉,Sirius,軒,池,HAO,,,,,,,
20,"260 1+
147 2+
480 3+
490
159
oox
1690
4679
2890
2390 8+
2690
ooox
0>5 x",486150,,模擬,"2023/7/3
2024/4/11",1,,,ED,池,梅粉,Sirius,軒,黃某人,ED,池,HAO,Sin,,
21,"390 1+
367 2+
389
346
456
ooo",297804,,模擬,2023-07-04 00:00:00,1,v,,Dean,梅粉,池,HAO,海月,,,,,,,
22,"147
159 2+
340
189 4+
357
oox",948357,,模擬,2023-07-04 00:00:00,2,,,Lori,梅粉,海月,Dean,HAO,,,,,,,
23,"126
269
348
567 4+
125
oox",820436,,模擬,2023-07-04 00:00:00,3,,,Dean,HAO,Sirius,ED,軒,,,,,,,
24,"489 1+
246
138
146
356
oox",794312,,模擬,2023-07-04 00:00:00,4,,,HAO,Lori,梅粉,Sirius,發達,,,,,,,
