,忠魚,派溪,沒林,刺客,娜娜,莫德,奧伯,,,,0家忠魚的流水號,,九號的
流水號1,16.0,11.0,29.0,6.0,1.0,12.0,10.0,,,,1.0,,67.0,,,,刺,娜,德,奧,派,梅,忠,,
位置1,7.0,8.0,0.0,0.0,9.0,0.0,6.0,,,,9.0,,69.0,,,Lori,80.0,78.0,64.0,62.0,42.0,50.0,37.0
流水號2,20.0,17.0,35.0,7.0,3.0,,,,,,14.0,,73.0,,,海月,62.0,51.0,62.0,68.0,32.0,44.0,31.0,,
位置2,9.0,6.0,7.0,9.0,0.0,,,,,,19.0,,76.0,,,怪,40.0,40.0,56.0,88.0,55.0,25.0,39.0
流水號3,3.0,26.0,,20.0,5.0,,,,,,22.0,,77.0,,,皓子,82.0,80.0,29.0,71.0,22.0,71.0,37.0,,
位置3,9.0,8.0,,7.0,0.0,,,,,,24.0,,79.0,,,Joy,75.0,90.0,60.0,17.0,56.0,40.0,35.0
流水號4,,,,,,,,,,,25.0,,84.0,,,池池,50.0,60.0,46.0,75.0,0.0,17.0,36.0,,
位置4,,,,,,,,,,,28.0,,86.0,,,瑞瑞,50.0,50.0,50.0,56.0,10.0,56.0,50.0
流水號5,,,,,,,,,,,33.0,,87.0,,,雪怪,80.0,50.0,50.0,75.0,0.0,50.0,35.0,,
位置5,,,,,,,,,,,34.0,,,,,達儒,33.0,60.0,64.0,0.0,70.0,62.0,52.0
,,,,,,,,,,,35.0,,,,,Dean,60.0,67.0,63.0,69.0,30.0,40.0,43.0
,,,,,,,,,,,37.0,,,,,Alan,100.0,40.0,50.0,50.0,75.0,0.0,35.0
,,,,,,,,,,,41-44,,,,,Vash,64.0,67.0,69.0,63.0,50.0,18.0,42.0
,,,,,,,,,,,47.0,,,,,婷婷,0.0,60.0,50.0,75.0,100.0,0.0,33.0
,,,,,,,,,,,48.0,,,,,Yumi,44.0,63.0,33.0,14.0,75.0,62.0,79.0
,,,,,,,,,,,50.0,,,,,2z,75.0,75.0,100.0,33.0,50.0,50.0,50.0
,,,,,,,,,,,52.0,,,,,Sin,80.0,29.0,100.0,100.0,80.0,50.0,33.0
,,,,,,,,,,,55.0,,,,,平均,60.9375,60,59.125,57.25,46.6875,39.6875,41.6875
,,,,,,,,,,,56.0
,,,,,,,,,,,58-61
,,,,,,,,,,,96.0,,,,,勝場,刺,娜,德,奧,派,梅,忠
,,,,,,,,,,,98.0,,,,,Lori,8.0,7.0,9.0,8.0,5.0,5.0,14.0
,,,,,,,,,,,100.0,,,,,海月,36.0,22.0,31.0,38.0,16.0,16.0,58.0
我是個梅林,我贏且好,我贏且壞,我輸且好,我輸且壞,,,,,,,101-103,,,,,怪,4.0,4.0,5.0,7.0,6.0,2.0,15.0
,4.0,,5.0,,,,,,,,,,,,,皓子,9.0,8.0,2.0,10.0,2.0,5.0,11.0
Dean,2.0,0.0,,,,,,,,,,,,,,Joy,6.0,9.0,6.0,1.0,5.0,6.0,14.0
Lori,0.0,2.0,,,,,,,,,,,,,,池池,6.0,6.0,6.0,6.0,0.0,1.0,9.0
Joy,0.0,2.0,,,,,,,,,,,,,,瑞瑞,1.0,2.0,2.0,5.0,1.0,5.0,19.0
怪,0.0,1.0,,,,,,,,,,,,,,雪怪,4.0,5.0,2.0,3.0,0.0,3.0,8.0
Vash,2.0,0.0,,,,,,,,,,,,,,達儒,2.0,3.0,9.0,0.0,2.0,3.0,3.0
皓子,2.0,0.0,,,,,,,,,,,,,,Dean,3.0,4.0,12.0,9.0,6.0,6.0,18.0
池,0.0,3.0,,,,,,,,,,,,,,Alan,6.0,2.0,3.0,2.0,3.0,0.0,6.0
瑞,0.0,2.0,,,,,,,,,,,,,,Vash,9.0,6.0,9.0,5.0,4.0,2.0,13.0
雪怪,0.0,1.0,,,,,,,,,,,,,,婷婷,0.0,3.0,1.0,3.0,1.0,0.0,6.0
Yumi,0.0,1.0,,,,,,,,,,,,,,Yumi,4.0,5.0,2.0,1.0,9.0,8.0,23.0,
達儒,,,,,,,,,,,,,,,,2z,3.0,3.0,1.0,1.0,1.0,2.0,8.0
Sin,,,,,,,,,,,,,,,,Sin,4.0,2.0,1.0,4.0,4.0,1.0,7.0
Alan,,,,,,,,,,,,,,,,角色勝,105,91,101,103,65,65,232
爾勵
婷婷,,,,,,,,刺,娜,德,奧,派,梅,忠,,總場,刺,娜,德,奧,派,梅,忠
,,,,,,,Lori,0.8,0.7777777778,0.6428571429,0.6153846154,0.4166666667,0.5,0.3684210526,,Lori,10.0,9.0,14.0,13.0,12.0,10.0,38.0
,,,,,,,海月,0.6206896552,0.511627907,0.62,0.6785714286,0.32,0.4444444444,0.311827957,,海月,58.0,43.0,50.0,56.0,50.0,36.0,186.0
,,,,,,,怪,0.4,0.4,0.5555555556,0.875,0.5454545455,0.25,0.3947368421,,怪,10.0,10.0,9.0,8.0,11.0,8.0,38.0
,,,,,,,皓子,0.8181818182,0.8,0.2857142857,0.7142857143,0.2222222222,0.7142857143,0.3666666667,,皓子,11.0,10.0,7.0,14.0,9.0,7.0,30.0
,,,,,,,Joy,0.75,0.9,0.6,0.1666666667,0.5555555556,0.4,0.35,,Joy,8.0,10.0,10.0,6.0,9.0,15.0,40.0
,,,,,,,池池,0.5,0.6,0.4615384615,0.75,0,0.1666666667,0.36,,池池,12.0,10.0,13.0,8.0,4.0,6.0,25.0
,,,,,,,瑞瑞,0.5,0.5,0.5,0.5555555556,0.1,0.5555555556,0.5,,瑞瑞,2.0,4.0,4.0,9.0,10.0,9.0,38.0
,,,,,,,雪怪,0.8,0.5,0.5,0.75,0,0.5,0.347826087,,雪怪,5.0,10.0,4.0,4.0,3.0,6.0,23.0
,,,,,,,達儒,0.5,1.0,1.0,0.0,0.67,0.5,0.16,,達儒,4.0,3.0,9.0,2.0,3.0,6.0,19.0
,,,,,,,Dean,0.6,0.6666666667,0.6315789474,0.6923076923,0.3,0.4,0.4285714286,,Dean,5.0,6.0,19.0,13.0,20.0,15.0,42.0
,,,,,,,Alan,1,0.4,0.5,0.5,0.75,0,0.3529411765,,Alan,6.0,5.0,6.0,4.0,4.0,2.0,17.0
,,,,,,,Vash,0.6428571429,0.6666666667,0.6923076923,0.625,0.5,0.1818181818,0.4193548387,,Vash,14.0,9.0,13.0,8.0,8.0,11.0,31.0
,,,,,,,婷婷,0,0.6,0.5,0.75,1,0,0.3333333333,,婷婷,1.0,5.0,2.0,4.0,1.0,3.0,18.0
,,,,,,,Yumi,0.4444444444,0.625,0.3333333333,0.1428571429,0.75,0.6153846154,0.7931034483,,Yumi,9.0,8.0,6.0,7.0,12.0,13.0,29.0,
,,,,,,,2z,0.75,0.75,1,0.3333333333,0.5,0.5,0.5,,2z,4.0,4.0,1.0,3.0,2.0,4.0,16.0
,,,,,,,Sin,0.8,0.2857142857,1,1,0.8,0.5,0.3333333333,,Sin,5.0,7.0,1.0,4.0,5.0,2.0,21.0
,,,,,,總角色勝率,,0.6402439024,0.5947712418,0.6011904762,0.6319018405,0.3987730061,0.4248366013,0.379705401,,總場,164,153,168,163,163,153,611
,,,,,,,,,,,,,,,總角色勝率,,0.6402439024,0.5947712418,0.6011904762,0.6319018405,0.3987730061,0.4248366013,0.379705401
