流水號,文字記錄,配置,刺殺,分類,日期時間,場次,頁碼,note,玩1,玩2,玩3,玩4,玩5,玩6,玩7,玩8,玩9,玩0,結果,第一局成功失敗,第二局成功失敗,第三局成功失敗,第四局成功失敗,第五局成功失敗,第一局,第二局,第三局,第四局,第五局,組成,強人,戳人,局勢,首湖,二湖,三湖,首湖玩家,二湖玩家,三湖玩家,角1,角4,角5,角0,2025-01-01 00:00:00,派5,派0,外灑
1,"147
269
349
468
358
ooo
3589 6+
3578
4589
3589 1+
3590
ooox
0>2 x
1358 5-
2358 5-
3459 59-
3457 45-
3568
ooox
2>8 x
12347 7- 6+
14679
oooxx",901836,,線瓦,1900-01-02 00:00:00,1,,我旁觀,,,,,,,,,,,三紅,ooo,ooox,ooox,oooxx,,藍,紅,紅,紅,,", , , , , , , , , ",0,0,藍紅紅紅,0>2,2>8,,娜,忠,奧,德,忠,忠,娜,147,N,N,N
2,"167 8+
249
139
149
125
ooo
6789
1257
1348 4- 6+
1489
4670
ooox
0>4 o
1245
1245
1349
1456
1245
ooox
4>9 x
14680 10- 9+
12457 45-
14580 15- 7+
13579 137-
14780
ooooo
9>3 x
14780 140- 9+
12480 1480- 9+
14780 14780- 369+
14780 1- 369+
oooox",962801,,線瓦,1900-01-02 00:00:00,2,,我旁觀,,,,,,,,,,,三紅,ooo,ooox,ooox,ooooo,oooox,藍,紅,紅,藍,紅,", , , , , , , , , ",0,0,藍紅紅藍紅,0>4,4>9,9>3,派,忠,刺,梅,忠,忠,派,167,N,N,N
3,"156 5-
248
379
458
389
ooo
3689 3-
3789 3-
3589 17+
oooo
0>3 o
3589
oooo",604259,,線瓦,1900-01-02 00:00:00,3,,我旁觀,,,,,,,,,,,三藍活,ooo,oooo,oooo,,,藍,藍,藍,,,", , , , , , , , , ",0,0,藍藍藍,0>3,,,娜,忠,,忠,德,派,娜,156,Y,N,N
4,"259 5- 1+
270
123
456
257
oox
2360
4679
3478
1269
2690
ooox
0>5 x
1379
1237 1-
1279 36+
oooo
5>4 x
12379
ooooo
4>6 o
12379
ooooo",408573,,線瓦,1900-01-02 00:00:00,4,,我旁觀,,,,,,,,,,,三藍活,oox,ooox,oooo,ooooo,ooooo,紅,紅,藍,藍,藍,", , , , , , , , , ",0,0,紅紅藍藍藍,0>5,5>4,4>6,娜,奧,刺,忠,刺,奧,娜,259,Y,N,Y
5,"158 8-
269
350
478
135
ooo
1356
1357
1568
1359 8+
1350
ooox
0>8 x
1357 0+
1235 0+
1356 80+
ooox
8>6 x
12345 9+
ooooo
6>1x
12345 1- 69+
oooxx",064271,,線瓦,1900-01-02 00:00:00,5,,我旁觀,,,,,,,,,,,三紅,ooo,ooox,ooox,ooooo,oooxx,藍,紅,紅,藍,紅,", , , , , , , , , ",0,0,藍紅紅藍紅,0>8,8>6,6>1x,刺,忠,娜,梅,德,忠,刺,158,Y,N,N
6,"348 1+
267 4+
134
378 4+
567
oox
2369 4+
3467 3-
2478
6790
1360
ooxx
0>5 x
1478
2689 689-
1347
2479 160+
oooo
5>6 x
24579 9- 6+
24679 158+
ooooo
6>1 o
12479
ooooo",580369,,線瓦,1900-01-02 00:00:00,6,,我旁觀,,,,,,,,,,,三藍活,oox,ooxx,oooo,ooooo,ooooo,紅,紅,藍,藍,藍,", , , , , , , , , ",0,0,紅紅藍藍藍,0>5,5>6,6>1,德,刺,派,忠,忠,刺,德,348,N,N,Y
7,"167
269
345
148
569
ooo
1569 1-
1367
5689
2569
5690
ooxx
0>4 o
1467 7-
2379 79-
2378
3470 7- 26+
1578
ooox
4>8 o
14678 17-
34789 39- 5+
23789 9- 56+
ooooo
8>9 o
23789 37- 16+
47890 4789-
12789 789- 50+
23789 9- 5+
23789
ooooo",451093,,線瓦,1900-01-02 00:00:00,7,,我旁觀,,,,,,,,,,,三藍活,ooo,ooxx,ooox,ooooo,ooooo,藍,紅,紅,藍,藍,", , , , , , , , , ",0,0,藍紅紅藍藍,0>4,4>8,8>9,奧,刺,忠,德,刺,娜,奧,167,N,N,N
8,"160
279
389
490
567
oox
3468
4789
1268 6-
1590
2690
ooox
0>4 x
1590 9-
2890
3680 7+
2690 2690- 4+
5890
ooox",491763,,線瓦,1900-01-02 00:00:00,8,,我旁觀,,,,,,,,,,,三紅,oox,ooox,ooox,,,紅,紅,紅,,,", , , , , , , , , ",0,0,紅紅紅,0>4,,,忠,刺,,德,刺,忠,忠,160,N,Y,N
9,"138 6+
349 2+
378
458 9+
159
ooo
1569
1579
1459 2678+
ooox
0>3 o
2579
3580
1380
1239
3457
oooo
3>7 x
34890
34589
13569 3-
34570
13580
oooxx
7>8 o
12369 3- 8+
23690
12369
ooooo",847536,2.0,線瓦,1900-01-02 00:00:00,9,,我旁觀,,,,,,,,,,,三藍活,ooo,ooox,oooo,oooxx,ooooo,藍,紅,藍,紅,藍,", , , , , , , , , ",0,0,藍紅藍紅藍,0>3,3>7,7>8,忠,派,德,忠,娜,奧,忠,138,N,N,N
10,"169
259
370
349
359
ooo
3569
3579
3589
2359
3590
ooox
0>4 o
1239 23-
2579
3569
4580
4579
ooox
4>9 o
23469 2-
35679 39-
23689 239-
23679
oooxx",275604,,線瓦,1900-01-02 00:00:00,10,,我旁觀,,,,,,,,,,,三紅,ooo,ooox,ooox,oooxx,,藍,紅,紅,紅,,", , , , , , , , , ",0,0,藍紅紅紅,0>4,4>9,,派,梅,忠,忠,梅,德,派,169,N,N,N
11,"126
278
390
890 4+
256
oox
1690 3+
2470
2389 9-
4690 0-
1290
ooox
0>3 x
1580 50-
2479
2379 27-
2479
1450
oooo
3>6 x
14590
ooooo
6>9 o
14590
ooooo",872310,1.0,線瓦,1900-01-02 00:00:00,11,,覆盤局,,,,,海月,,,,,,三藍活,oox,ooox,oooo,ooooo,ooooo,紅,紅,藍,藍,藍,", , , , 海月, , , , , ",0,1,紅紅藍藍藍,0>3,3>6,6>9,梅,奧,忠,派,忠,忠,梅,126,N,N,N
12,"157
269
678 3+
460
589
ooo
5689
5689 7+
2589
2589
5890
ooox
0>4 o
1289 2-
2478
3489
4689 9- 3+
1589
oooo
4>5 x
15689
oooxx
5>8 o
46780 46-
23489 24- 1+
24789 1+
ooooo",036542,2.0,線瓦,1900-01-02 00:00:00,12,,覆盤局,,,,,,,,,海月,,三藍死,ooo,ooox,oooo,oooxx,ooooo,藍,紅,藍,紅,藍,", , , , , , , , 海月, ",0,1,藍紅藍紅藍,0>4,4>5,5>8,刺,派,奧,忠,派,奧,刺,157,Y,N,N
13,"159
268
345
459
579
ooo
1690 10-
5789 24+
ooox
0>9 x
3578
1359
3580
1457 5- 6+
2368
ooox
9>2 o
13580 18-
14578 178-
35780 1+
ooooo
2>7 o
35780 3- 12469+
ooooo",169258,8.0,線瓦,1900-01-02 00:00:00,13,,,,,,,,,,,海月,,三藍死,ooo,ooox,ooox,ooooo,ooooo,藍,紅,紅,藍,藍,", , , , , , , , 海月, ",0,1,藍紅紅藍藍,0>9,9>2,2>7,忠,德,奧,刺,忠,派,忠,159,Y,N,N
14,"135
269
380
460
345
oox
2469 2-
3780
3890
3490
1380
ooxx
0>4 o
1469 46-
2469
2579 2579- 3+
4690 28+
oooo
4>2 o
24690
ooooo
2>9 o
24690
ooooo",578124,6.0,線瓦,1900-01-02 00:00:00,14,,,,,海月,,,,,,,,三藍活,oox,ooxx,oooo,ooooo,ooooo,紅,紅,藍,藍,藍,", , 海月, , , , , , , ",0,1,紅紅藍藍藍,0>4,4>2,2>9,忠,梅,派,奧,梅,刺,忠,135,Y,N,N
