,Liang,雪怪,發達,Lori,尼克,大星,Sin,軒,夆,小背包,2146,825.0,20231203,,562479,,
隊長,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,0.0,結果,隊長,隊伍,,,137,
1,🛡️,,🛡️,,,,🛡️,,,,,1.0,137,,137,267,
2,,🛡️,,,,🛡️,🛡️,,,,,2,267,,267,359,
3,,,🛡️,,🛡️,,,,🛡️,,,3,359,,359,479,
4,,,,🛡️,,,🛡️,,🛡️,,,4,479,,479,157,
5,🛡️,,,,🛡️,,🛡️,,,,,5,157,,157,oox,
任務,,,,,,,,,,,oox ,任務,oox,,oox,2678,
6,,🛡️,,,,🛡️,🛡️,🛡️,,,,6,2678,,2678,2678,
7,,🛡️,,,,🛡️,🛡️,🛡️,,,,7,2678,,2678,2678,3+
8,,🛡️,,,,🛡️,🛡️,🛡️,,,,8,2678,3+,2678 3+,1789,
9,🛡️,,,,,,🛡️,🛡️,🛡️,,,9,1789,,1789,2670,
0,,🛡️,,,,🛡️,🛡️,,,🛡️,,0,2670,,2670,oooo,
任務,,,,,,,,,,,oooo ,任務,oooo,,oooo,0>2,x
湖中,,,,,,,,,,,0>2 x,湖中,0>2,x,0>2 x,1389,8-
1,🛡️,,🛡️,,,,,🛡️,🛡️,,,1,1389,8-,1389 8-,1239,9-
2,🛡️,🛡️,🛡️,,,,,,🛡️,,,2,1239,9-,1239 9-,1389,8-
3,🛡️,,🛡️,,,,,🛡️,🛡️,,,3,1389,8-,1389 8-,4679,3+
4,,,,🛡️,,🛡️,🛡️,,🛡️,,,4,4679,3+,4679 3+,3579,
5,,,🛡️,,🛡️,,🛡️,,🛡️,,,5,3579,,3579,ooox,
任務,,,,,,,,,,,ooox ,任務,ooox,,ooox,2>5,o
湖中,,,,,,,,,,,2>5 o,湖中,2>5,o,2>5 o,34567,357-
6,,,🛡️,🛡️,🛡️,🛡️,🛡️,,,,,6,34567,357-,34567 357-,13890,7+
7,🛡️,,🛡️,,,,,🛡️,🛡️,🛡️,,7,13890,7+,13890 7+,ooooo,
任務,,,,,,,,,,,ooooo ,任務,ooooo,,ooooo,5>9,x
湖中,,,,,,,,,,,5>9 x,湖中,5>9,x,5>9 x,13890,3-
8,🛡️,,🛡️,,,,,🛡️,🛡️,🛡️,,8,13890,3-,13890 3-,13890,7+
9,🛡️,,🛡️,,,,,🛡️,🛡️,🛡️,,9,13890,7+,13890 7+,ooooo,
任務,,,,,,,,,,,ooooo ,任務,ooooo,,ooooo,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
