,SIN,HAO,尼克,軒,海月,池,黑羊,洋蔥,DEAN,JOY,LIANG,轆,KEVIN,豬豬,雪怪,發達,黃某人,菜,LORI,大星,ED,午夜,VASH,TEN,豬羊,很乖,呂安,RAY
SIN,1,0.2389380531,0.2455752212,0.2300884956,0.04424778761,0.157079646,0.1615044248,0.1747787611,0.09292035398,0.06194690265,0.1349557522,0.1349557522,0.1305309735,0.1172566372,0.0907079646,0.1039823009,0.05973451327,0.08628318584,0.0796460177,0.09513274336,0.05752212389,0.05530973451,0.03539823009,0.04203539823,0.0796460177,0.06194690265,0.07522123894,0.01327433628
HAO,0.2312633833,1,0.2569593148,0.1691648822,0.09850107066,0.1884368308,0.1498929336,0.1263383298,0.1349036403,0.147751606,0.1370449679,0.1241970021,0.1220556745,0.1006423983,0.07708779443,0.09421841542,0.1006423983,0.1327623126,0.08993576017,0.05781584582,0.1156316916,0.03854389722,0.06209850107,0.05781584582,0.09207708779,0.04496788009,0.06852248394,0.04282655246
尼克,0.3293768546,0.3560830861,1,0.237388724,0.04154302671,0.1454005935,0.1958456973,0.1543026706,0.08605341246,0.07418397626,0.1068249258,0.118694362,0.1513353116,0.08902077151,0.04747774481,0.1335311573,0.09792284866,0.07418397626,0.07418397626,0.08308605341,0.03560830861,0.04154302671,0.02077151335,0.06824925816,0.09198813056,0.07418397626,0.06824925816,0.02077151335
軒,0.3076923077,0.2337278107,0.2366863905,1,0,0.1301775148,0.1834319527,0.2159763314,0.008875739645,0.02662721893,0.1715976331,0.1568047337,0.1568047337,0.1301775148,0.05029585799,0.1331360947,0.07692307692,0.08284023669,0.09171597633,0.1094674556,0.005917159763,0.09171597633,0,0.05621301775,0.08579881657,0.1065088757,0.0650887574,0
海月,0.06920415225,0.1591695502,0.04844290657,0,1,0.1141868512,0.03806228374,0,0.1660899654,0.1453287197,0.006920415225,0.01384083045,0.003460207612,0,0.0830449827,0.01038062284,0.01384083045,0,0.09688581315,0.01384083045,0.1003460208,0.003460207612,0.1211072664,0.02422145329,0.006920415225,0.01384083045,0.003460207612,0.04498269896
池,0.2320261438,0.2875816993,0.160130719,0.1437908497,0.1078431373,1,0.1699346405,0.1797385621,0.1339869281,0.1176470588,0.09803921569,0.1045751634,0.08496732026,0.09803921569,0.1045751634,0.1241830065,0.1111111111,0.07189542484,0.05555555556,0.05882352941,0.06535947712,0.06209150327,0.04575163399,0.09150326797,0.04248366013,0.05882352941,0.06209150327,0.01307189542
黑羊,0.2625899281,0.2517985612,0.2374100719,0.2230215827,0.03956834532,0.1870503597,1,0.190647482,0.01798561151,0.04316546763,0.154676259,0.118705036,0.1258992806,0.1438848921,0.07194244604,0.1007194245,0.1151079137,0.1151079137,0.06474820144,0.07194244604,0.04676258993,0.05755395683,0.007194244604,0.07913669065,0.07553956835,0.08633093525,0.04316546763,0
洋蔥,0.2883211679,0.2153284672,0.1897810219,0.2664233577,0,0.200729927,0.1934306569,1,0.0401459854,0.04379562044,0.1569343066,0.0802919708,0.1277372263,0.1131386861,0.09124087591,0.1240875912,0.1240875912,0.06934306569,0.05474452555,0.09854014599,0.01824817518,0.06934306569,0,0.06204379562,0.05109489051,0.09854014599,0.1131386861,0
DEAN,0.2245989305,0.3368983957,0.1550802139,0.01604278075,0.256684492,0.2192513369,0.02673796791,0.05882352941,1,0.3101604278,0.04278074866,0.03743315508,0.0320855615,0.02673796791,0.192513369,0.02139037433,0.0320855615,0.04278074866,0.1604278075,0.05347593583,0.2245989305,0.005347593583,0.1764705882,0.06417112299,0.02139037433,0.01069518717,0.03743315508,0.1122994652
JOY,0.1530054645,0.3770491803,0.1366120219,0.04918032787,0.2295081967,0.1967213115,0.06557377049,0.06557377049,0.3169398907,1,0.0218579235,0.04371584699,0.02732240437,0.04371584699,0.1475409836,0.02732240437,0.06010928962,0.04918032787,0.1475409836,0.04371584699,0.1803278689,0,0.174863388,0.04371584699,0.01639344262,0.0218579235,0.08196721311,0.1366120219
LIANG,0.2877358491,0.3018867925,0.1698113208,0.2735849057,0.009433962264,0.141509434,0.2028301887,0.2028301887,0.03773584906,0.01886792453,1,0.1462264151,0.108490566,0.108490566,0.03773584906,0.1367924528,0.1037735849,0.09433962264,0.08018867925,0.06132075472,0.01886792453,0.1273584906,0,0.06132075472,0.2216981132,0.08018867925,0.108490566,0
轆,0.2961165049,0.2815533981,0.1941747573,0.2572815534,0.01941747573,0.1553398058,0.1601941748,0.1067961165,0.03398058252,0.03883495146,0.1504854369,1,0.213592233,0.140776699,0.03398058252,0.07766990291,0.07766990291,0.1796116505,0.02427184466,0.02912621359,0.02912621359,0.04854368932,0.004854368932,0.03398058252,0.1359223301,0.04854368932,0.03883495146,0
KEVIN,0.3105263158,0.3,0.2684210526,0.2789473684,0.005263157895,0.1368421053,0.1842105263,0.1842105263,0.03157894737,0.02631578947,0.1210526316,0.2315789474,1,0.1578947368,0.03684210526,0.1210526316,0.03684210526,0.1631578947,0,0.09473684211,0.01578947368,0.04210526316,0.005263157895,0.07894736842,0.09473684211,0.05789473684,0.08421052632,0
豬豬,0.335443038,0.2974683544,0.1898734177,0.2784810127,0,0.1898734177,0.253164557,0.1962025316,0.03164556962,0.05063291139,0.1455696203,0.1835443038,0.1898734177,1,0,0.05063291139,0.01898734177,0.1772151899,0.006329113924,0.03797468354,0.01265822785,0.04430379747,0,0.06962025316,0.06962025316,0.01265822785,0,0
雪怪,0.2484848485,0.2181818182,0.09696969697,0.103030303,0.1454545455,0.1939393939,0.1212121212,0.1515151515,0.2181818182,0.1636363636,0.04848484848,0.04242424242,0.04242424242,0,1,0.07878787879,0.09696969697,0.01818181818,0.2242424242,0.1333333333,0.1757575758,0.03636363636,0.1212121212,0.05454545455,0.06060606061,0.09696969697,0.006060606061,0.07272727273
發達,0.2655367232,0.2485875706,0.2542372881,0.2542372881,0.01694915254,0.2146892655,0.1581920904,0.1920903955,0.02259887006,0.02824858757,0.1638418079,0.09039548023,0.1299435028,0.04519774011,0.07344632768,1,0.1016949153,0.01694915254,0.08474576271,0.1242937853,0.01694915254,0.1355932203,0,0.04519774011,0.05084745763,0.1129943503,0.1694915254,0
黃某人,0.1730769231,0.3012820513,0.2115384615,0.1666666667,0.02564102564,0.2179487179,0.2051282051,0.2179487179,0.03846153846,0.07051282051,0.141025641,0.1025641026,0.04487179487,0.01923076923,0.1025641026,0.1153846154,1,0.03846153846,0.05128205128,0.1025641026,0.03846153846,0.141025641,0,0.108974359,0.1346153846,0.08974358974,0.1282051282,0
菜,0.2846715328,0.4525547445,0.1824817518,0.204379562,0,0.1605839416,0.2335766423,0.1386861314,0.05839416058,0.06569343066,0.1459854015,0.2700729927,0.2262773723,0.204379562,0.02189781022,0.02189781022,0.04379562044,1,0,0.02919708029,0.04379562044,0.02189781022,0,0.05109489051,0.07299270073,0.007299270073,0,0.007299270073
LORI,0.2208588957,0.2576687117,0.1533742331,0.1901840491,0.1717791411,0.1042944785,0.1104294479,0.09202453988,0.1840490798,0.1656441718,0.1042944785,0.03067484663,0,0.006134969325,0.226993865,0.09202453988,0.0490797546,0,1,0.09202453988,0.1349693252,0.07975460123,0.1165644172,0.01226993865,0.04294478528,0.0981595092,0,0.1472392638
大星,0.3185185185,0.2,0.2074074074,0.2740740741,0.02962962963,0.1333333333,0.1481481481,0.2,0.07407407407,0.05925925926,0.0962962963,0.04444444444,0.1333333333,0.04444444444,0.162962963,0.162962963,0.1185185185,0.02962962963,0.1111111111,1,0.02962962963,0.1111111111,0.02962962963,0.03703703704,0.07407407407,0.1407407407,0.1185185185,0
ED,0.1954887218,0.4060150376,0.09022556391,0.01503759398,0.2180451128,0.1503759398,0.0977443609,0.03759398496,0.3157894737,0.2481203008,0.03007518797,0.04511278195,0.02255639098,0.01503759398,0.2180451128,0.02255639098,0.04511278195,0.04511278195,0.1654135338,0.03007518797,1,0,0.2180451128,0.01503759398,0.01503759398,0.01503759398,0.007518796992,0.1879699248
午夜,0.2358490566,0.1698113208,0.1320754717,0.2924528302,0.009433962264,0.179245283,0.1509433962,0.179245283,0.009433962264,0,0.2547169811,0.09433962264,0.07547169811,0.06603773585,0.05660377358,0.2264150943,0.2075471698,0.02830188679,0.1226415094,0.141509434,0,1,0,0.04716981132,0.1037735849,0.1320754717,0.1037735849,0
VASH,0.1684210526,0.3052631579,0.07368421053,0,0.3684210526,0.1473684211,0.02105263158,0,0.3473684211,0.3368421053,0,0.01052631579,0.01052631579,0,0.2105263158,0,0,0,0.2,0.04210526316,0.3052631579,0,1,0,0,0,0,0.1789473684
TEN,0.1881188119,0.2673267327,0.2277227723,0.1881188119,0.06930693069,0.2772277228,0.2178217822,0.1683168317,0.1188118812,0.07920792079,0.1287128713,0.06930693069,0.1485148515,0.1089108911,0.08910891089,0.07920792079,0.1683168317,0.06930693069,0.0198019802,0.0495049505,0.0198019802,0.0495049505,0,1,0.1287128713,0.0198019802,0.09900990099,0
