,SIN,HAO,尼克,軒,海月,池,黑羊,洋蔥,DEAN,JOY,LIANG,轆,KEVIN,豬豬,雪怪,發達,黃某人,菜,LORI,大星,ED,午夜,VASH,TEN,豬羊,很乖,呂安,RAY
SIN,1,0.2604373757,0.2783300199,0.2644135189,0.05367793241,0.2007952286,0.2445328032,0.1709741551,0.08151093439,0.09741550696,0.1471172962,0.1510934394,0.1848906561,0.2027833002,0.09741550696,0.1172962227,0.09741550696,0.1510934394,0.04174950298,0.1371769384,0.04771371769,0.07952286282,0.01789264414,0.08747514911,0.0675944334,0.06361829026,0.08151093439,0.01192842942
HAO,0.3164251208,1,0.2898550725,0.2753623188,0.1062801932,0.2004830918,0.1739130435,0.1328502415,0.154589372,0.1618357488,0.1884057971,0.11352657,0.1400966184,0.154589372,0.1328502415,0.1086956522,0.1280193237,0.1256038647,0.09903381643,0.1207729469,0.1111111111,0.0845410628,0.0845410628,0.07971014493,0.06280193237,0.0652173913,0.07004830918,0.04589371981
尼克,0.3465346535,0.297029703,1,0.3217821782,0.03465346535,0.1658415842,0.2326732673,0.1485148515,0.07673267327,0.07178217822,0.1757425743,0.1955445545,0.1485148515,0.1559405941,0.08168316832,0.150990099,0.1237623762,0.103960396,0.07920792079,0.1237623762,0.05445544554,0.07920792079,0.02722772277,0.08910891089,0.09405940594,0.09900990099,0.09653465347,0
軒,0.3129411765,0.2682352941,0.3058823529,1,0.002352941176,0.1670588235,0.2094117647,0.1976470588,0.04,0.04470588235,0.2164705882,0.1647058824,0.1835294118,0.1741176471,0.06117647059,0.1647058824,0.1152941176,0.1270588235,0.08941176471,0.1505882353,0.01647058824,0.1317647059,0.002352941176,0.1011764706,0.07764705882,0.1058823529,0.08235294118,0
海月,0.07714285714,0.1257142857,0.04,0.002857142857,1,0.1428571429,0.03428571429,0.005714285714,0.1942857143,0.1914285714,0.002857142857,0,0,0.002857142857,0.1457142857,0.02285714286,0.02285714286,0.002857142857,0.1057142857,0.01428571429,0.1057142857,0,0.1142857143,0.02285714286,0,0.01428571429,0.002857142857,0.06571428571
池,0.3069908815,0.2522796353,0.2036474164,0.2158054711,0.1519756839,1,0.1580547112,0.1732522796,0.1914893617,0.1610942249,0.1124620061,0.103343465,0.1063829787,0.1124620061,0.1367781155,0.07902735562,0.1124620061,0.09726443769,0.06686930091,0.09118541033,0.09118541033,0.1063829787,0.03647416413,0.1215805471,0.04863221884,0.04255319149,0.0820668693,0.01215805471
黑羊,0.384375,0.225,0.29375,0.278125,0.0375,0.1625,1,0.2,0.05,0.040625,0.15625,0.125,0.14375,0.19375,0.08125,0.09375,0.14375,0.171875,0.065625,0.115625,0.040625,0.1,0,0.1625,0.08125,0.078125,0.053125,0.003125
洋蔥,0.3038869258,0.1943462898,0.2120141343,0.296819788,0.007067137809,0.2014134276,0.2261484099,1,0.03886925795,0.03533568905,0.2155477032,0.0777385159,0.1731448763,0.1519434629,0.09540636042,0.1236749117,0.1731448763,0.03533568905,0.0777385159,0.2014134276,0.02120141343,0.109540636,0.003533568905,0.1024734982,0.05653710247,0.1024734982,0.1201413428,0.003533568905
DEAN,0.2019704433,0.315270936,0.1527093596,0.08374384236,0.3349753695,0.3103448276,0.07881773399,0.05418719212,1,0.3399014778,0.02955665025,0.039408867,0.03448275862,0.02463054187,0.2857142857,0.02463054187,0.06403940887,0.04433497537,0.1724137931,0.07881773399,0.2512315271,0.004926108374,0.1871921182,0.04926108374,0.01477832512,0,0.039408867,0.1083743842
JOY,0.2378640777,0.3252427184,0.140776699,0.09223300971,0.3252427184,0.2572815534,0.06310679612,0.04854368932,0.3349514563,1,0.04368932039,0.08252427184,0.009708737864,0.06310679612,0.2621359223,0.02912621359,0.04368932039,0.06310679612,0.1359223301,0.05825242718,0.1844660194,0,0.2087378641,0.05339805825,0.009708737864,0.004854368932,0.08252427184,0.1844660194
