		46.2%	46.2%	46.2%	45.8%	23.5%	30.7%	69.3%	45.9%	23.3%	30.8%	54%	69%	69%	69%	69%	31%	31%	31%	10%	10%	10%	10%	10%	10%	40%	40%	60%	42%	40%	40%	43%	48%	43%	40%	43%	44%	45%	47%	42%	43%	69%	66%	65%	69%	75%	70%	66%	69%	69%	74%	30%	28%	28%	31%	35%	31%	29%	31%	31%	34%	10%	10%	10%	10%	10%	10%	9%	10%	10%	9%	10%	10%	10%	10%	10%	10%	10%	10%	10%	10%																																																																	
player	總場次	勝率	角色理論	位置理論	紅方三紅	紅方梅死	紅方梅活	紅勝	藍方三紅	藍方梅死	藍方梅活	三藍	刺	娜	德	奧	派	梅	忠	刺	娜	德	奧	派	梅	忠	紅角率	藍角率	1勝	2勝	3勝	4勝	5勝	6勝	7勝	8勝	9勝	0勝	雙尾派	1-5勝	6-0勝	1紅勝	2紅勝	3紅勝	4紅勝	5紅勝	6紅勝	7紅勝	8紅勝	9紅勝	0紅勝	1藍勝	2藍勝	3藍勝	4藍勝	5藍勝	6藍勝	7藍勝	8藍勝	9藍勝	0藍勝	1紅	2紅	3紅	4紅	5紅	6紅	7紅	8紅	9紅	0紅	1藍	2藍	3藍	4藍	5藍	6藍	7藍	8藍	9藍	0藍	三紅	三藍死	三藍活	三紅	三藍死	三藍活	刺	娜	德	奧	派	梅	忠	紅勝	藍勝	總勝	刺	娜	德	奧	派	梅	忠	紅場	藍場	1紅勝	2紅勝	3紅勝	4紅勝	5紅勝	6紅勝	7紅勝	8紅勝	9紅勝	0紅勝	1藍勝	2藍勝	3藍勝	4藍勝	5藍勝	6藍勝	7藍勝	8藍勝	9藍勝	0藍勝	1紅	2紅	3紅	4紅	5紅	6紅	7紅	8紅	9紅	0紅	1藍	2藍	3藍	4藍	5藍	6藍	7藍	8藍	9藍	0藍
SIN	981	47.0%	46.4%	46.7%	49.0%	22.5%	28.5%	71.5%	46.1%	24.1%	29.8%	54%	72%	64%	77%	75%	38%	24%	29%	9%	11%	10%	11%	12%	10%	37%	41%	59%	41%	39%	41%	48%	47%	45%	34%	44%	43%	49%	48%	43%	43%	64%	64%	62%	94%	68%	83%	69%	77%	60%	80%	25%	25%	28%	29%	38%	29%	21%	28%	35%	38%	11%	11%	11%	9%	9%	10%	10%	11%	10%	9%	7%	10%	9%	10%	11%	11%	12%	10%	9%	11%	198	91	115	266	139	172	66	70	72	81	45	23	104	289	172	461	92	110	94	108	118	97	362	404	577	28	28	28	33	26	33	27	34	24	28	10	14	14	17	25	18	15	17	19	23	44	44	45	35	38	40	39	44	40	35	40	55	50	58	65	62	72	60	54	61
HAO	901	53.3%	54.8%	54.7%	53.9%	25.7%	20.4%	79.6%	38.4%	23.8%	37.7%	62%	83%	80%	77%	78%	40%	58%	33%	11%	8%	9%	9%	9%	10%	45%	37%	63%	47%	56%	45%	46%	48%	55%	45%	43%	59%	53%	50%	48%	51%	76%	87%	78%	69%	96%	71%	74%	77%	89%	81%	38%	37%	30%	37%	34%	49%	31%	30%	48%	45%	9%	11%	11%	11%	7%	8%	12%	12%	11%	8%	10%	7%	10%	11%	11%	9%	10%	12%	11%	10%	180	86	68	218	135	214	80	60	64	62	32	50	132	266	214	480	96	75	83	80	80	86	401	334	567	22	33	29	25	24	20	29	30	33	21	22	15	16	23	21	24	17	20	31	25	29	38	37	36	25	28	39	39	37	26	58	41	54	62	61	49	54	67	65	56
30場以下	834	45.1%	45.5%	45.4%	43.6%	23.0%	33.4%	66.6%	43.3%	25.4%	31.3%	57%	62%	66%	70%	69%	26%	28%	34%	10%	11%	8%	11%	10%	10%	40%	39%	61%	42%	42%	32%	47%	47%	46%	39%	43%	38%	45%	46%	42%	42%	71%	69%	53%	61%	71%	82%	60%	57%	63%	76%	27%	29%	24%	42%	36%	31%	32%	36%	27%	30%	10%	11%	10%	10%	11%	9%	8%	9%	12%	12%	8%	10%	11%	10%	10%	9%	10%	9%	11%	11%	142	75	109	220	129	159	51	59	46	61	22	24	113	217	159	376	82	90	66	88	86	85	337	326	508	22	25	17	20	25	23	15	17	24	29	11	15	14	22	18	15	16	16	15	17	31	36	32	33	35	28	25	30	38	38	41	52	58	53	50	48	50	44	56	56
尼克	772	44.8%	45.3%	45.6%	43.0%	27.9%	29.2%	70.8%	49.2%	22.4%	28.5%	51%	64%	63%	81%	74%	28%	24%	30%	10%	8%	9%	11%	9%	12%	41%	39%	61%	38%	39%	40%	45%	49%	39%	33%	46%	43%	38%	44%	42%	40%	69%	59%	74%	86%	70%	79%	62%	80%	70%	63%	24%	30%	26%	31%	39%	25%	22%	33%	29%	27%	12%	11%	11%	7%	11%	9%	7%	8%	12%	10%	12%	9%	12%	9%	10%	12%	8%	9%	10%	9%	128	83	87	233	106	135	49	39	58	65	20	21	94	211	135	346	76	62	72	88	72	89	313	298	474	25	19	25	19	23	22	13	20	26	19	13	13	15	13	18	14	8	15	14	12	36	32	34	22	33	28	21	25	37	30	55	44	57	42	46	55	36	45	49	45
軒	763	44.6%	44.2%	43.7%	46.5%	22.9%	30.6%	69.4%	49.9%	22.9%	27.2%	50%	71%	70%	70%	66%	28%	32%	26%	12%	9%	10%	10%	9%	8%	42%	41%	59%	42%	36%	36%	38%	45%	40%	38%	43%	41%	45%	45%	40%	41%	82%	54%	71%	64%	77%	65%	68%	66%	71%	70%	23%	29%	15%	21%	27%	31%	27%	33%	29%	35%	11%	8%	12%	12%	12%	8%	8%	10%	10%	9%	10%	8%	9%	9%	11%	11%	11%	10%	11%	10%	146	72	96	224	103	122	63	50	56	49	20	19	83	218	122	340	89	71	80	74	72	59	318	314	449	27	13	27	25	30	17	17	21	22	19	10	11	6	8	13	15	13	15	15	16	33	24	38	39	39	26	25	32	31	27	44	38	41	39	48	48	48	46	51	46
海月	659	45.4%	44.4%	44.4%	38.8%	23.2%	38.1%	61.9%	43.2%	24.3%	32.4%	57%	59%	64%	59%	66%	30%	37%	32%	12%	9%	11%	12%	10%	8%	38%	44%	56%	30%	40%	34%	43%	66%	45%	37%	45%	41%	49%	57%	41%	44%	52%	58%	50%	73%	80%	61%	59%	59%	57%	69%	19%	28%	27%	24%	59%	37%	23%	38%	35%	40%	11%	9%	10%	14%	9%	10%	10%	10%	7%	10%	12%	7%	12%	12%	9%	10%	8%	9%	11%	11%	112	67	110	160	90	120	48	39	41	51	20	19	81	179	120	299	81	61	70	77	67	51	252	289	370	17	15	14	30	20	17	17	17	12	20	8	7	12	11	19	14	7	12	14	16	33	26	28	41	25	28	29	29	21	29	43	25	45	45	32	38	30	32	40	40
池	649	48.1%	47.0%	47.0%	51.1%	17.6%	31.3%	68.7%	41.2%	26.1%	32.6%	59%	66%	74%	63%	73%	43%	20%	33%	12%	10%	12%	10%	9%	8%	40%	43%	57%	47%	45%	43%	45%	49%	44%	42%	41%	36%	56%	52%	46%	44%	74%	59%	56%	69%	84%	64%	60%	78%	67%	75%	32%	37%	31%	33%	24%	35%	34%	26%	24%	50%	7%	10%	14%	12%	16%	9%	9%	8%	9%	7%	6%	9%	9%	12%	11%	11%	10%	10%	11%	11%	142	49	87	153	97	121	50	46	48	47	26	10	85	191	121	312	76	62	76	64	61	50	260	278	371	14	16	22	22	37	16	15	18	16	15	7	13	10	14	10	14	13	10	10	20	19	27	39	32	44	25	25	23	24	20	22	35	32	43	41	40	38	38	42	40
黑羊	604	45.9%	45.5%	45.1%	48.2%	22.7%	29.1%	70.9%	46.5%	24.9%	28.6%	54%	75%	71%	63%	74%	27%	29%	29%	10%	11%	10%	10%	12%	10%	38%	41%	59%	45%	39%	32%	38%	45%	38%	35%	53%	44%	46%	45%	40%	44%	85%	58%	43%	75%	76%	72%	65%	79%	80%	74%	32%	29%	26%	27%	27%	22%	16%	39%	24%	37%	8%	10%	9%	10%	12%	7%	13%	12%	12%	8%	11%	10%	8%	14%	9%	8%	9%	11%	10%	12%	119	56	72	166	89	102	45	47	38	45	19	17	66	175	102	277	60	66	60	61	71	59	227	247	357	17	14	10	18	22	13	20	23	24	14	12	10	7	13	9	6	5	15	9	16	20	24	23	24	29	18	31	29	30	19	38	34	27	49	33	27	31	38	37	43
